Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108
25,,30,,35,,40,,45,,50,,55,,60,,65,,70,,75,,80,,85,,90,,95,,100,,110,,120,,130,,140,,150,,160,,170,,5,,8,,10,,15,,20,,025,,030,,035,,040,,045,,050,,055,,060,,065,,070,,075,,080,,085,,090,,095,,0100,,0110,,0120,,0130,,0140,,0150,,0160,,0170,,0180,,0190,,0200,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.862575886,1.571856058,0.674339421,1.466698897,0.568692334,1.67736443,0.467933693,1.721596548,0.419168769,1.817436247,0.368920292,2.01165677,0.288958941,1.488474074,0.26757728,2.151356715,0.21037391,2.260838609,0.132391941,1.695958034,0.087508555,1.952969847,0.11466899,3.167228597,0.178290597,4.944708272,0.100236812,4.269622717,0.123678526,5.281486645,0.090934107,5.276445712,0.196837963,8.081270212,0.14839523,8.271833993,0.170845285,9.526695665,0.211777186,10.86976539,0.124943285,10.35732567,0.134830191,11.15643981,0.133856803,,2.288174337,3.128209313,2.207963569,2.866222634,2.073218845,1.600954229,2.008968524,1.882344552,1.89370747,1.60646347,1.840388007,1.802693603,1.781966333,1.768645112,1.713475015,1.597830415,1.673493443,1.764283299,1.636766702,1.731960802,1.568299828,1.619870025,1.529915806,1.615186067,1.51450318,1.815166218,1.479953237,1.857838943,1.407951071,1.270743828,1.403162464,1.793868084,1.349625824,1.468353109,1.322787205,1.136709159,1.303054458,1.839848264,1.289776972,2.01474277,1.2379125,1.697353447,1.199599971,1.864425919,1.139506068,1.822104598,1.10117271,1.939136636,1.114509271,3.051618073,1.11362131,3.782018144,1.12233288,4.665238998,1.149481367,5.741307985,1.139700884,6.299220737,1.150082722,7.186004734,1.14868201,7.830023672
0.855833655,1.371458326,0.692623132,1.496655259,0.583944992,1.885282242,0.479872951,1.489920243,0.428044158,2.059527922,0.376945055,2.232755381,0.302777235,1.809234402,0.270020027,2.334978884,0.225114998,2.496536643,0.135605979,1.839066806,0.102243741,2.186932477,0.122767538,3.410019746,0.188655793,5.141166914,0.118437884,4.542556164,0.137226278,5.522707667,0.10260971,5.501800193,0.212179162,8.315219069,0.161879036,8.494254815,0.191945582,9.850183055,0.22835363,11.11051262,0.136296598,10.59483623,0.15540374,11.40142677,0.150696311,,2.301609269,3.331561613,2.221402176,3.078405599,2.08737449,1.817565759,2.007369565,2.050096305,1.928566411,2.051581805,1.84882561,2.02773558,1.807192147,2.234778645,1.730253425,1.815373532,1.686916122,1.93820005,1.647217094,1.981618514,1.569702501,1.782378957,1.544341173,1.792506433,1.526158865,1.944056283,1.493414512,2.124477673,1.421436238,1.59478188,1.417578642,1.949111787,1.366422246,1.729166483,1.33470625,1.707386235,1.320079215,2.076486848,1.306573393,2.275556144,1.246331234,1.877064679,1.212710455,2.090143061,1.152925561,1.988368106,1.109614724,2.174775411,1.131800923,3.356719745,1.125377641,3.961791128,1.140748477,4.806869275,1.162882726,5.864006881,1.158145887,6.511496332,1.166854516,7.387652655,1.165420231,7.951018188
0.880248227,1.778433293,0.691601959,1.730975989,0.580553873,1.690111379,0.492341979,1.681269087,0.421912063,1.554873899,0.392286254,2.466704238,0.318849061,2.079805772,0.285104457,2.6003468,0.225823326,2.704785007,0.155250269,2.269033568,0.115314749,2.394899871,0.128723394,3.557405047,0.201523748,5.360709171,0.128468396,4.765344727,0.153981182,5.815921915,0.117732508,5.671539137,0.227461334,8.531813895,0.179156331,8.762870414,0.207509118,9.971316942,0.245916223,11.28482422,0.149741053,10.8056877,0.180320481,11.77785773,0.161322212,,2.316722923,3.558787585,2.233163408,3.269952803,2.100807584,2.016502727,2.022517404,2.359447459,1.947040657,2.245019335,1.863931913,2.237300222,1.81469474,2.504460912,1.744820493,2.065843295,1.710438586,2.321294458,1.66034032,2.237948627,1.586777178,1.909855469,1.558422304,1.944653228,1.53853346,2.272783438,1.506849443,2.327829974,1.427230999,1.770660021,1.429484536,2.220921981,1.382941146,1.895991943,1.353140471,1.893758546,1.334930717,2.246645494,1.318354229,2.514200226,1.262076018,2.01687942,1.220135506,2.288085807,1.166377769,2.233224531,1.123049655,2.378127711,1.141869587,3.491131107,1.138808407,4.155135342,1.153840827,4.989021805,1.183044068,6.190523282,1.178268265,6.744407687,1.180266658,7.536254834,1.180528372,8.164998162
0.898021133,2.014576655,0.717280808,1.796921304,0.603683726,2.075742725,0.50573085,1.875778844,0.447279052,2.330950269,0.405770061,2.689125061,0.323688926,2.382726078,0.288128623,2.847997077,0.249831702,2.814156718,0.166829952,2.599824113,0.123717878,2.620328726,0.142007912,3.797598994,0.217411933,5.577290225,0.119585966,4.078273873,0.165898796,5.934246102,0.123877251,5.874457335,0.244889148,8.691954999,0.194330286,8.947649518,0.218760707,10.25019345,0.253849494,11.47902408,0.16130352,10.99778029,0.196679573,11.77652175,0.174746991,,2.330142417,3.725051093,2.248298014,3.547513564,2.112566365,2.202162822,2.037645639,2.621701733,1.94910313,2.388996221,1.877366844,2.440652522,1.829032335,2.585463073,1.760497643,2.310446532,1.725461449,2.330403011,1.675452872,2.4625254,1.600208434,2.104377104,1.570192113,2.156805317,1.553643806,2.492061812,1.523038138,2.465003749,1.444911652,1.86484378,1.446816803,2.432686398,1.389943484,2.109317336,1.354880335,2.064515607,1.348372755,2.467070413,1.323439654,2.704152147,1.273201097,2.283769279,1.25165154,2.631296076,1.180379381,2.46160734,1.133128611,2.537264935,1.167022866,3.78300619,1.153918754,4.374413715,1.175203471,5.39518298,1.209921834,6.616213812,1.195730088,6.885599812,1.191326518,7.761008925,1.198964064,8.354902739
0.893670164,1.804482703,0.725635141,2.114913251,0.611856058,2.340226412,0.520393234,2.177429079,0.441922323,2.09243565,0.416616133,2.884415749,0.341558181,2.519923264,0.282465936,2.252258006,0.257510664,3.200862361,0.168228408,2.877333652,0.135344291,2.831221514,0.158977844,3.899486041,0.236182619,5.750417337,0.123930376,4.286439599,0.173702207,6.090267099,0.135611881,6.117165846,0.257873471,8.996618578,0.207784578,9.161393326,0.237723232,10.47972117,0.274796321,11.75739099,0.17472338,11.20140091,0.220562024,12.38341698,0.188171769,12.48250023,2.343589846,3.958427654,2.266756005,3.79099084,2.124343158,2.431093173,2.054412042,2.810398012,1.964258934,2.717480482,1.892479029,2.664346228,1.845836475,2.864820843,1.773930737,2.5093835,1.73389366,2.542493347,1.690558808,2.671206975,1.615324661,2.337784541,1.58363072,2.368988282,1.570437164,2.745516298,1.523509861,2.261908753,1.460031188,2.106198815,1.460248058,2.627208034,1.421259801,2.507273609,1.373354744,2.347436519,1.363492659,2.709308515,1.341857824,2.851963889,1.286632352,2.478290915,1.275135286,2.921374149,1.193256821,2.662005793,1.154934736,2.806118536,1.197204596,4.12795789,1.167355523,4.582181348,1.189397265,5.417080558,1.219906138,6.547961419,1.211808422,7.139461574,1.21043589,7.851182274,1.215966765,8.538557335
0.917464917,2.232867533,0.743655524,2.245633173,0.630745641,2.395582227,0.515966186,1.944967711,0.459183877,2.534605325,0.434452416,3.103555834,0.344069793,2.723791802,0.307308003,3.064916554,0.252279368,2.999225056,0.18073118,3.025148672,0.150626463,3.047816341,0.167051796,4.135046343,0.245047679,5.989472057,0.140629203,4.919531154,0.200650144,6.529324067,0.15273177,6.33950403,0.277061986,9.216223798,0.223140534,9.39968069,0.251284336,10.7248675,0.33371345,12.50811808,0.190064579,11.43534977,0.230486483,12.09393522,0.199689966,12.66157729,2.358704971,4.189185891,2.280193632,4.000818961,2.141123406,2.653051622,2.066180625,3.019606546,1.981045553,2.954745416,1.907581656,2.865080205,1.860939838,3.067320953,1.78568523,2.684741152,1.746973023,2.693444194,1.698954262,2.794990664,1.628751996,2.522886801,1.598751359,2.612992516,1.587225621,2.987196565,1.537066093,2.756672989,1.473467957,2.313966448,1.475349951,2.826175878,1.431271613,2.772376752,1.388470972,2.580843956,1.376911049,2.872922824,1.356975522,3.088903592,1.300078311,2.708135209,1.293658583,3.321742902,1.209757868,2.785939453,1.186797272,3.179947951,1.219082766,4.569892521,1.184138467,4.810615618,1.201216084,5.746974843,1.228342026,6.76888242,1.23025416,7.353503301,1.228889715,8.084651464,1.227470869,8.685105789
0.935980943,2.483851673,0.763926815,2.503574666,0.635184833,2.570522659,0.528356862,2.380553873,0.480630074,2.674696424,0.449749345,3.324489168,0.362393642,2.979367087,0.302476196,2.789819756,0.270279747,3.480427526,0.196447399,3.274323165,0.164257837,3.313622239,0.17862902,4.33147744,0.258858946,6.180893702,0.148599858,5.124721904,0.214192977,6.76909892,0.164308994,6.535935126,0.292314644,9.424141609,0.23639315,9.554131561,0.268272819,10.90857231,0.362135102,12.84590189,0.205361507,11.65628311,0.243889619,12.64900251,0.213124583,12.86953642,2.370458239,4.361599988,2.288619718,4.198191522,2.152905712,2.895227971,2.074611611,3.228753327,1.994474971,3.14485172,1.921018426,3.072847838,1.874371094,3.261842589,1.817997067,3.135699425,1.762489174,3.085809772,1.72079935,3.157449311,1.639972073,2.750727557,1.61385656,2.819907959,1.60234332,3.224136268,1.548833941,2.96411539,1.486910241,2.534980077,1.483779712,3.032379104,1.447057565,3.011094938,1.40691573,2.79253084,1.390358846,3.10718245,1.372087339,3.311714231,1.308477441,2.840749563,1.307095352,3.529510535,1.223471633,3.086433476,1.200288565,3.518703777,1.237526544,4.77922456,1.200078679,5.019018276,1.21795063,5.859138694,1.246764239,6.926407893,1.256282456,7.742972667,1.249003517,8.296957935,1.245881565,8.814961846
0.958503798,2.69102574,0.757151792,2.293535806,0.649109671,2.735516103,0.539573422,2.604586141,0.488757967,2.956660459,0.466810206,3.529473322,0.381019908,3.074398308,0.316151644,3.282401512,0.279900778,3.712646883,0.194220102,3.035255328,0.177795751,3.551950923,0.190206244,4.527908536,0.2728799,6.383054382,0.162073826,5.344250388,0.231194811,6.956729044,0.177832152,6.769925302,0.307537788,9.623382406,0.24875347,9.802610975,0.279889394,11.11657276,0.377338571,13.03935801,0.22235252,11.84073166,0.25420838,12.86744568,0.230179541,13.07278518,2.383893905,4.566718421,2.305361125,4.326839281,2.169216879,3.135721994,2.089700638,3.396813844,2.017794567,3.613304809,1.934457033,3.285030803,1.886131713,3.451918016,1.831044205,3.409689324,1.771268378,3.329696676,1.734209776,3.301930513,1.655590003,2.853058974,1.630645017,3.061588226,1.612404631,3.340886301,1.560594683,3.154485172,1.502018382,2.748960052,1.500558367,3.250510932,1.464398613,3.243954832,1.421320574,2.92054666,1.40379194,3.306119418,1.385523986,3.519187508,1.322767907,3.094893623,1.322202758,3.741724376,1.245298343,3.4047388,1.19846906,3.156615647,1.253142431,4.876650052,1.215169911,5.192377193,1.231395363,6.086039434,1.263537503,7.131588079,1.270474902,7.761632335,1.26744705,8.505701263,1.264774661,8.958282975
0.976281841,2.839588636,0.781796538,2.666364128,0.668020547,2.816222674,0.538927811,2.28114007,0.500806496,3.234382497,0.480372715,3.775032852,0.381191087,3.302906814,0.3260399,3.570275953,0.291807993,3.929731637,0.215645541,3.454334502,0.189276986,3.796524697,0.207424512,4.779170104,0.284378421,6.556346771,0.175469091,5.540640165,0.244703212,7.186380712,0.192390255,6.951825841,0.326529826,9.861587132,0.26248401,9.95502619,0.295112538,11.31581356,0.437916336,13.74376636,0.23218647,12.05918584,0.268184278,13.02072308,0.243108884,13.2391029,2.399000576,4.77716613,2.322150072,4.56969697,2.181490995,3.413965712,2.098129174,3.600073515,2.012945704,3.418941967,1.951235076,3.501690853,1.891216525,3.640398159,1.847854717,3.704353579,1.789348745,3.467788511,1.749303705,3.481765251,1.672396104,3.137126432,1.645776193,3.330907032,1.630910897,3.700339641,1.575711646,3.389658742,1.519751126,2.968286945,1.517332121,3.45686854,1.47728708,3.47084528,1.428765719,3.166763707,1.418890156,3.496256598,1.398963083,3.732547895,1.342057786,3.33235205,1.337615988,3.886831341,1.278819875,3.755050652,1.215399647,3.739748283,1.261036143,5.131411642,1.229430788,5.375434402,1.249848943,6.318919912,1.280312237,7.340300531,1.288959114,8.068101686,1.285895974,8.727396233,1.279380062,9.109934865
0.991506757,2.985895508,0.776040532,2.50137098,0.67057643,3.033106734,0.555829861,2.821251801,0.506376215,3.045516243,0.499222104,3.971298671,0.392472612,3.514220664,0.32363552,3.130661176,0.294519314,3.657769189,0.227030434,3.594220383,0.206458431,3.960597019,0.221968842,4.778839551,0.299642885,6.767735389,0.18898733,5.773184172,0.253665329,7.362334052,0.202676748,7.125145776,0.343541498,10.05210959,0.280352758,10.18371099,0.308453695,11.49629547,0.452854181,13.85912935,0.248804627,12.13401477,0.277857871,13.19203216,0.253330054,13.46449043,2.412431832,4.971687766,2.335549471,4.687686178,2.196111318,3.601465896,2.114887613,3.769636687,2.034765062,3.719585962,1.964666944,3.697684266,1.907932692,3.708408687,1.849625824,3.950171291,1.804454313,3.67558702,1.766122303,3.795856969,1.68918113,3.370564745,1.657578899,3.62209357,1.641723606,3.904063929,1.590820522,3.605404849,1.53058939,3.233405378,1.52767083,3.667312132,1.494074312,3.709581992,1.44221903,3.414269331,1.430668542,3.729013571,1.416064961,3.925371326,1.357177689,3.574590152,1.34906527,4.130767647,1.29401452,4.176845603,1.230512567,3.965208122,1.276146857,5.351573082,1.244530107,5.568220781,1.264950836,6.517887757,1.29540641,7.520723979,1.307396765,8.262715951,1.304325294,8.901994325,1.312842211,9.317582423
